Real Madrid F.C. 11, Liverpool F.C. 6
Germany National 2, FC Bayern Munich 1
Manchester United F.C. 9, Juventus F.C. 10
Germany National 1, Arsenal F.C. 0
Croatia National 4, Paris Saint-Germain F.C. 4
A.C. Milan 1, Inter Milan 2
Colombia National 3, South Korea National 1
Paris Saint-Germain F.C. 1, Manchester United F.C. 0
FC Barcelona 4, U.S. National 5
Manchester United F.C. 3, Inter Milan 3
Spain National 4, Croatia National 5
Borussia Dortmund 2, Athletico Madrid 2
England National 4, South Korea National 5
Arsenal F.C. 1, Germany National 3
Croatia National 2, Paris Saint-Germain F.C. 1
FC Barcelona 4, Real Madrid F.C. 0
A.C. Milan 2, Juventus F.C. 2
Paris Saint-Germain F.C. 1, Manchester United F.C. 2
Liverpool F.C. 6, Spain National 5
Manchester United F.C. 2, Germany National 1
